model_name,kernel_name,kernel_path,kernel_category,size_hints,reduction_hint,line_of_code,num_load,num_store,num_for_loop,num_atomic_add,num_args,xnumel,ynumel,rnumel,kernel_args_num_gb
,triton_poi_fused_cat_0,./targets/64/c64d2d25vftwi6gk2o42slabvfxsqb3mtdo6vhvnb7waixwir2ii.py,pointwise,[256],,43,1,1,0,0,4,256,,,1.026000
,triton_per_fused_1,./targets/5y/c5y3djqpxztmbeajwxfyahbbe2woxkgzwsulitx3vzydidddlm4g.py,persistent_reduction,"[4096, 256]",INNER,37,3,1,0,0,5,3072,,256,0.001586
,triton_poi_fused_cat_2,./targets/me/cmelns5ggdklvi3ouslw43jx55ds6qw34q7t3zupsxyoinocj5ob.py,pointwise,[256],,44,1,1,0,0,4,256,,,1.028000
,triton_per_fused_3,./targets/3v/c3vsyafer6a53dzmv3mgmusqssolaxt2tzafnw3g2v7x6if2honz.py,persistent_reduction,"[4096, 1024]",INNER,22,2,1,0,0,5,3072,,768,0.004732
,triton_red_fused_add_4,./targets/ta/cta2up2cam5w6rrzqir3o5ls7sotqfy4alq7p7mkthitubpwvabl.py,reduction,"[4096, 4096]",INNER,75,12,1,1,0,17,3072,,3072,0.056703
,triton_red_fused_5,./targets/a5/ca5z7onu2yc5ygpmwv3idwl4clygae6zdneiqdghqw6l22c45qsp.py,reduction,"[32768, 4096]",INNER,54,5,4,1,0,13,18432,,3072,0.453286
,triton_red_fused_add_mul_native_layer_norm_6,./targets/mz/cmz7cexejyihluymt6h4m2ry47uh3rtrwpxtew6bxtxhbgr5qmpa.py,reduction,"[4096, 4096]",INNER,61,8,1,2,0,9,4096,,3072,0.050448
,triton_red_fused_add_mul_native_layer_norm_7,./targets/gi/cgijymhyga3bc47qphpq3dk65o5hyqebyjy3qzrnydhxjbsfaspu.py,reduction,"[512, 4096]",INNER,61,8,1,2,0,9,512,,3072,0.006408
,triton_poi_fused_stack_8,./targets/z3/cz3ya5bkbkkjx2x42xdgbiyc3qxczlsdcd7hprqmhnw524c26ukq.py,pointwise,[262144],,103,8,1,0,0,5,147456,,,0.001207
,triton_poi_fused_stack_9,./targets/4q/c4qkc6prla7xs6x7lp7jxprhkmchgqtevxzzq63phdcpvrqrftef.py,pointwise,[524288],,103,8,1,0,0,5,516096,,,0.004156
,triton_poi_fused_stack_10,./targets/og/cogdria3ez66ayyu6i2aulotftagorirjzntty4yhrhwqgjq6qsv.py,pointwise,[524288],,103,8,1,0,0,5,516096,,,0.004156
,triton_per_fused__to_copy_mean_pow_11,./targets/3h/c3hy4c5glrbdaznqzkff4m3pkk5g2uqzcwywisdef4yfu4vf3gwp.py,persistent_reduction,"[16384, 128]",INNER,22,2,1,0,0,6,12288,,128,0.003201
,triton_per_fused__to_copy_mean_pow_12,./targets/a7/ca7r532q6fqwa2rilgpadq7xrqbjeeprv4ia67tjmz5o2ejupv7y.py,persistent_reduction,"[131072, 128]",INNER,22,2,1,0,0,6,98304,,128,0.025565
,triton_poi_fused_cat_13,./targets/6w/c6w77clyycb3h57v42kiyupez2tq2t3p2c7fpixxsihfoqbb2zwc.py,pointwise,[16777216],,50,8,1,0,0,11,14155776,,,0.057078
,triton_poi_fused__scaled_dot_product_flash_attention__to_copy_add_cat_mul_14,./targets/le/clefwxigaluan4nczskj4k6fd3ulojydmgc2cgxii3eoyji435pv.py,pointwise,[16777216],,68,10,2,0,0,9,14155776,,,0.122683
,triton_poi_fused__scaled_dot_product_flash_attention__to_copy_cat_15,./targets/bw/cbwa34tnspnol3fcsduwc6h7ngyc3sezqkpwnz3a6trn67alwy37.py,pointwise,[16777216],,25,2,1,0,0,5,14155776,,,0.056623
,triton_poi_fused_clone_16,./targets/xe/cxes4m7z72vsg4ezgpy5jso3kr3b5wq4atpsplziehvfefxfbbfr.py,pointwise,[16777216],,11,1,1,0,0,4,14155776,,,0.056623
,triton_red_fused_add_mul_native_layer_norm_17,./targets/5i/c5iz442phl57erau7hyfjzebid5vtfgeesjwdghwvb2beytu5jyy.py,reduction,"[4096, 4096]",INNER,69,11,2,2,0,11,4096,,3072,0.100786
,triton_red_fused_add_mul_native_layer_norm_18,./targets/wb/cwb5ar23wwuelhpvv352jlh4kihxrk54r6ocqgnd3wle2plmdcb2.py,reduction,"[512, 4096]",INNER,69,11,2,2,0,11,512,,3072,0.012706
